brand,categories,features.value,manufacturer,name
Mentos,"Baby,Feeding,Baby Food,Baby Products,Baby Foods,Grocery","Sugar,Wheat Syrup,Strawberry Juice from Concentrate (2),Hydrogenated Coconut Oil,Citric Acid,Corn Starch,Artificial Flavor,Maltodextrin,Sucrose Fatty Acid Esters,Gellan Gum,Carnauba Wax,Sodium Carboxymethylcellulose,Gum Arabic,Color (Beetroot Red),Beeswax. Mentos Chewy Mint Strawberry.,Mentos The Chewy Mint Strawberry.,Artificially flavored.,Perfetti.,For nutritional information,write to: Nutritional Data,P.O. Box 18190,Erlanger,KY 41018.,Mentos is a registered trademark of Perfetti Van Melle Benelux B.V. www.mentos.com.,For the strawberry lover,mentos strawberry chewy candies are a perfect fit.,With a hard outer shell to keep them from melting and a creamy chewy center,mentos strawberry flavored chewy candies have no competition.,If are looking for fresh breath and a delicious fruity flavor then look no further than mentos strawberry flavored chewy mints.",Perfetti Van Melle USA Inc,"Mentos Chewy Mint Strawberry, 1.32 Oz"
Streit's,"Baby,Feeding,Baby Food,Baby Products,Baby Foods,Grocery","Durum Flour (Wheat),Egg Yolks or Eggs,Niacin,Iron (Ferrous Sulfate),Thiamine Mononitrate (Vitamin B1),Riboflavin (Vitamin B2),and Folic Acid.",Aron Streit Inc.,Egg Noodles Wide
Spice Islands,"Baby,Feeding,Baby Food,Baby Products,Baby Foods,Meals,Grocery","Oregano,Marjoram,Savory,Thyme,Basil,Rosemary,Sage. Aromatic blend of basil,oregano,rosemary,thyme and other herbs,Perfect compliment to Italian dishes and tomato-based sauces",Spice Island,Italian Herb Seasoning
Orale!,"Baby,Feeding,Baby Food,Baby Products,Baby Foods,Meals,Grocery",Natural Sesame Seed.,Lisy Corp,Natural Sesame Seeds
Fiordifrutta,"Baby,Feeding,Baby Food,Baby Products,Baby Foods,Meals,Grocery","Strawberries*,Apple Juice*,Wild Strawberries*,Pectin. *From organic farming.",Rigoni Di Asiago,"Fiordifrutta Organic Fruit Spread Strawberries & Wild Strawberries, 8.82 Oz"
Old Wessex Ltd.,"Baby,Feeding,Baby Food,Grocery",100 Natural Scottish-Style Porridge Oats.,Blue Marble Brands,Old Wessex Ltd. - Scottish-style Porridge Oats - 18.5 Oz.
Dickinson's,"Baby,Feeding,Baby Food,Grocery","Water (Ingredients Not in Regular Preserves),Blackberries (Adds a Trivial Amount of Sugar),Polydextrose (Ingredients Not in Regular Preserves),Maltodextrin (Ingredients Not in Regular Preserves),Fruit Pectin,Locust Bean Gum (Ingredients Not in Regular Preserves),Citric Acid,Natural Flavor (Ingredients Not in Regular Preserves),Potassium Sorbate (Preservative),Calcium Chloride (Ingredients Not in Regular Preserves),Sucralose (Non Nutritive Sweetener),(Ingredients Not in Regular Preserves),Red 40 (Ingredients Not in Regular Preserves),.","THE DICKINSON FAMILY, INC.",Preserv Sf Blckbrry -pack of 6
RiceSelect,"Baby,Feeding,Baby Food,Grocery",Organic Texmati Rice.,Rice Select,Organic White
De Cecco,"Baby,Feeding,Baby Food,Grocery","Whole Semolina From (Wheat),Niacin,Ferrous Lactate,Thiamine Mononitrate,Riboflavin,Folic Acid.",F. LLI De Cecco Di Filippo,Whole Wheat Penne Rigate Pasta
SAM MILLS,"Baby,Feeding,Baby Food,Grocery","100% Corn Flour,Water. This Product Is Produced In A Gluten-Free Facility.",Sam Mills,"Sam Mills Pasta D'oro Penne Rigate 100% Corn Pasta, 16 Oz"
Golden Mountain,"Baby,Feeding,Baby Food,grocery","Soybean Sauce (Soy Bean, Corn, Wheat),Water,Sugar,Salt,Add Food Enhancer",THAI THEPAROS FOOD PRODUCTS,"Golden Mountain Seasoning Sauce, 20 Fl Oz"
McCormick,"Baby,Feeding,Baby Food,Grocery","Salt,Spices (Including Coriander, Black Pepper, Paprika, And Thyme),Garlic,Sugar,Onion,Orange Peel,Citric Acid,Corn Maltodextrin,Gum Arabic,Valencia Orange Peel,Beer (Malted Barley, Corn Syrup, Hops, Yeast),And Natural Flavors.","Mccormick & Company, Inc.",McCormick Belgian Style White Ale Seasoning (Pack of 2) 2.37 oz Bottles
Orale!,"Baby,Feeding,Baby Food,Grocery",Whole Black Pepper.,Lisy Corp,"Orale Whole Black Pepper, 1 Oz"
Polaner All Fruit,"Baby,Feeding,Baby Food,Grocery & Gourmet Food,Pasta & Noodles,Pasta,Baby Food Stages,Third Foods","Juice Concentrates (Pear, Grape),Maltodextrin (Dietary Fiber),Raspberries,Fruit Pectin,Natural Flavor,Citric Acid.","B&G Foods, Inc.","Polaner All Fruit Raspberry Fruit Spread With Fiber, 10 Oz"
Spice Islands,"Baby,Feeding,Baby Food,Products,Grocery","Cinnamon Is One Of The Oldest And Most Flavorful Spices In The World. Spice Islands Have Traveled To Saigon To Bring You This Sweet Cinnamon Whose Red-Hot,Candy-Like Flavor Has Been Prized For Centuries. Ground Cinnamon Is The Secret Ingredient In A Wide Array Of Middle Eastern And Mediterranean Dishes,And A Favorite For Baked Goods. For A Fragrant Pilaf,Cook Rice In Cinnamon-Flavored Broth Stir In Chopped Dried Fruits And Toasted Nuts.",Spice Island,"Spice Islands: Ground Saigon Cinnamon Spice, 1.9 Oz"
Taste of Thai,"Bacon,Food,Fresh Food,Meat, Seafood & Poultry,Bacon & Sausages,Grocery & Gourmet Food,Meat & Seafood","Salt,Galangal,Lemongrass,Sugar,Dextrose,Shallot,Chili,Kaffir Lime Peel,Onion,Coriander Root,Citric Acid,Hydrolyzed Soybean Protein.",A Taste of Thai,"A Taste of Thai Soup Base, Coconut Ginger"
Chilli Man,"Bagel Chips,Grocery & Gourmet Food,Snack Foods,Crackers","Chili Peppers,Granulated Onion,Spices,Salt,Granulated Garlic.","Faribault Foods, Inc.",Chilli Manï¿½ï¿½ Seasoning Mix 1.25 Oz. Pouch
Bonne Maman,"Baked Beans,grocery,Food,Beans","Blackberries,Sugar,Cane Sugar,Concentrated Lemon Juice,Fruit Pectin.",BONNE MAMAN,"Bonne Maman Blackberry Preserves, 13 Oz (pack of 6)"
Orale!,"Baked Beans,Grocery,Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Baked,Beans,Food,Meal Solutions, Grains & Pasta,Dried Beans",Hulled Pumpkin Seed.,Lisy Corp,Hulled Pumpkin Seed
Badia,"Bakery & Dessert Gifts,Grocery & Gourmet Food,Food & Beverage Gifts","Arbol Chili,Sulfites. Resealable bag,Arbol chili,sulfites",Badias Spices,"Badia Arbol Chili Peppers, 6 Oz"
Manischewitz,"Bakery & Dessert Gifts,Grocery & Gourmet Food,Food & Beverage Gifts,grocery","Water,Beets,Salt,Citric Acid,Sodium Saccharin (22mg per serving),.",MANISCHEWITZ,Manischewitz Borscht 24oz Pack of 12
Tone's,"Baking Chocolates, Carob & Cocoa,Grocery & Gourmet Food,Cooking & Baking",Cinnamon Ground,Ach Food Companies,Ground Cinnamon
Baycliff,"Baking Mixes,Food,Baking,Grocery",Toasted Seaweed Sheets.,"Baycliff Company, Inc.",Sushi Chef Nori (toasted Seaweed Sheets) ull Sheets Boxes
Orale!,"Baking Mixes,Food,Baking,Grocery & Gourmet Food,Cooking & Baking",Pequin Chili Pods,Lisy Corp,"Orale Chile Pequin Entero Chili Pods, .25 Oz"
Nature's Earthly Choice,"Baking Powder,Baking,Food,grocery","Quinoa,Dehydrated Vegetables (Carrot, Red And Green Bell Peppers, Tomato, Celery),Salt,Cane Sugar,Yeast Extract,Garlic Powder,Onion Powder,Potato Starch,Spices,Turmeric,And Less Than 2% Sunflower Oil And Rice Concentrate Added to Prevent Caking.",NATURE'S EARTHLY CHOICE,"Nature's Earthly Choice Garden Vegetable Easy Quinoa, 4.8 Oz"
Tone's,"Baking Powder,Food,Baking,Baking Powder & Soda,Grocery",Celery Salt,Ach Food Companies,"Tone's: Celery Salt, 1.2 Oz"
Redmond,"Baking Supplies,Baking,Food,Baking Mixes,Grocery",100 Real Salt.,Redmond Trading Company,"Redmond Real Salt Nature's First Sea Salt Fine, 10.0 Oz"
